Tip,Paylaþým
Pozitif,salgin olduðuna nanan arkadaþlarim lütfen doktor tanidiklariniza soruyu sorar misiniz 
Pozitif,sene geçti ancak bizim acýmýz dindi onlarýn nefreti bitti avrupa nýn göbeðinde bin boþnak yalnýzca müslüman 
Pozitif,yýl önce kurulmuþtu yörsan resmen iflas etti 
Pozitif,böyle görünce dayanamýyorum baþýmýn tatlý derdi 
Pozitif,gün olur ihanet eden sadakat ister 
Pozitif,senin kimse 
Pozitif,oda tv senin efendilerine mesaj veriyor diyor ben burdayim sýkýysa gelin 
Pozitif,oyun falan kalmadý zaten çýkýn þunlarý takipten bi taraflarýný kaldýrdýk 
Pozitif,yandaþa maaþ bize ayasofya 
Pozitif,sadece beni sevenler gülücükle menþ ata bilirmii 
Pozitif,seni seviyorum inatla denizin kendi derinliklerinde yatan ince kumlarý sevdiði seni severken dünyadaki þeyi seviyorum 
Pozitif,beyaz shirt meselesini yeterinde abartmadýðýmýzý fark ettim aga hatika bi sey 
Pozitif,bize bizden baþkasý misafir 
Pozitif,karatay belediyesi sevimli dostlarýmýzý yalnýz býrakmýyor lçe genelindeki sokak hayvanlarý beslenme istasyonlarý kuruluyor 
Pozitif,ortodoks dünyasý danýþtay kararýna tepkili 
Pozitif,dünyanýn büyük jürisi elalem 
Pozitif,ben isterim 
Pozitif,adamlar demiþ tecavüzcü olunca taksici lisansýmýz iptal ediliyor lütfen edilmesin 
Pozitif,covýd tedavisinde kullanýlacaðý duyurulan yerli covýd ilacýmýz favicovir ilacýna üretim ruhsatý verildi mletimize 
Negatif,merak ediyorum kafayla yaþýyorsunuz 
Pozitif,valla isterim 
Negatif,zmir den sevgiler özele gelirmisin cnm seni doyurayým 
Pozitif,dünyanýn deðiþmeyen düzeni itin ürümesi kervanýn yürümesidir 
Pozitif,portakal suyu sýkmak 
Negatif,dünya üzerinde hiçbir canlýda bunlardaki kadar yoðun bir aþaðýlýk duygusu yok 
Pozitif,böyle þeylere muhalefet olmasý beklenen öðretmen bozmasý çýkmýþ babadan davet gelirse kýza iki tokat ben atarým diyor baþýndan beri metafordaki babadan hiçbir farký yok adamýn artýk herkes anlamýþtýr umarým bunu 
Pozitif,madde çýkara dayalý bir iliþki yerine galatasaray tercih et 
Pozitif,altýnda türkiye cumhuriyeti nin kurucusu mustafa kemal atatürk ün imzasýnýn olduðu karar ihanet diyor 
Pozitif,otobüste yaþlý yer verdiðim teyze kalabalýk otobüste inmeye çalýþýrken böyle bi þeye dönüþüyo istisnasýz 
Pozitif,zaman gidiyoruz 
Pozitif,sabah sabah moralim bozuldu 
Pozitif,abi eyer platform olarak youtubeni seçersen kameranýn karþýsýnda oturarak yalnýz anlatma bunu yapanlar praktik olarakda gösterirsen güzel olur giriþimci olmak istiyenler içinde buna ofisde vloglar günlük hayat vloglarý iþi yaptýgýn hakkýnda videolarda dahil 
Pozitif,bir meyhane reklamý ancak kadar mükemmel yapýlabilirdi 
Pozitif,meksika nýn sainapuchi bölgesinde meydana gelen kasýrga sýrasýnda çekilen görüntüler 
Pozitif,teþekkür ederim aþkm 
Pozitif,yaþasýn tam baðýmsýz türkiye 
Pozitif,hani son demiþtim gün son du 
Pozitif,merakýmý mazur görün olsaydýnýz açýlmasý çaba sarf eder miydiniz 
Negatif,yalan yalan salak yanlýþ bilgi veriyon 
Pozitif,bütün dünyanýn þahit olduðu avrupa daki büyük trajedilerden soykýrýmý nýn yýl dönümünde öldürülen müslüman boþnak kardeþlerimize allah tan rahmet diliyorum boþnak ýn katledilmesinden sorumlu olanlar zaman insanlýðýn yüz karasý olarak anýlacaktýr 
Pozitif,mekanda hafif cakir olmaya basladiktan sonra tuvaletin yolunu kafada simule edip oyle kalkmak ozlendi 
Pozitif,öpim geçer 
Negatif,konuþma salak karý 
Negatif,düzgün konuþ sýðýr siki 
Pozitif,yýl geçti avrupa nýn izniyle gözü önünde masum can soykýrýma uðradý boþnak kardeþlerimi saygý rahmetle 
Pozitif,özel buluþmalar özel günler olunca nedense geç kalýyorum gitmemen gereken yerlere erken gidiyorum 
Pozitif,
Pozitif,eba nýn sunduðu armalarý alan sýnýf öðrencisi pek varol eba ilgili kitap çalýþmam var ileride öðrencilere 
Negatif,cemalin ailesi çýkýp kimseye ailesine küfür etmiyor anasýný sikti topun demiyor attýðýn fodla alakasýz bir olay sývayamýyorsunuz ona gülüyorum 
Negatif,sen müptezelsin yüzden 
Pozitif,fenayýmm 
Pozitif,laik cumhuriyeti türk milliyetçiliði atatürk ilke inkilaplarýný silmek isteyenere býrakýn oy vermeyi konuþmakta yok herþeyi arabýn dini yapýyorlar herþeyi türkleri araplaþtýrmak yapýyorlar 
Pozitif,balkonda oturmayý sevmeyen insanlarýn samimiyetine güvenemiyorumm 
Pozitif,sezainin storylerine girip takip etmemiz gereken hesaplarý takip edin lütfen haydi instagrama 
Pozitif,senin daðlarý deleyim yakalanim bebeðim 
Pozitif,ayasofya kararý iktidara darbe giriþimi deðilse ben bilmiyorum 
Pozitif,anlýk halý yýkarken birini dusunerek gulumsuyorum ben var yok olmusum mahvolmusum 
Pozitif,staj ssk baþlangýcý olacak dediniz sizi verdiðiniz sözleri tutmaya davet ediyoruz dbdevletbahc 
Pozitif,balkanlar camiyi ahýra bara kiliseye çevirirken unesco neredeydi 
Pozitif,ee nasýlsýnýz 
Pozitif,fransa bir kilisede yaþananlar nedir çocuklarýn kiliseden çektiði yorumlarýnýzý alalým 
Pozitif,meral akþener tek meziyeti darbe þakþakçýlýðý hakaret olan þeyi yýllarca besledi þimdi eþine hakaret etme 
Negatif,yýmýrta kafacýklar diyarý 
Pozitif,kadar kötüsünüz küçücük bir olayýn cümlenin bir insaný etkilediðinin farkýnda deðilsiniz 
Pozitif,larýn ayrý yazýlmasý eski bir sorunmuþ 
Pozitif,harflý yaratýklar rabbýmýz müslümanlarý þrinden koru cünkü papazlarla alakalý dýrlar 
Pozitif,yilikle kötülük bir olmaz kötülüðü güzel bir þekilde sav bir bakarsýn seninle arasýnda düþmanlýk bulunan kims 
Pozitif,büyük davet allah tarafýndan geliyor zaten 
Pozitif,sevdim sandým sevildim sanýrdým 
Pozitif,erkekler mutlu evliligin sýrlarý açýklanmýþ zaman muhabbet edecegin bir kadýn olmalý herzaman arzulayacabileceðin 
Pozitif,sýcak hava bile siyah giyinme alýþkanlýðým mahvediyo beni 
Pozitif,bizim umudumuz allahtan kulun iþi rast gelin dayý 
Pozitif,sadece izmirin daðlarýnda deðil ülkemin yerinde açan solmayan güzel çiçeksin atam sevgimiz kadar özlemle anýyoruz 
Negatif,boynuzister of süper olur varmýdýr böyle karýlarý olan 
Negatif,abi baðnazsýnýz uf üzülüyorum size 
Pozitif,aðlamamak tek bir nedenim kalmadý tam zamanýnda 
Pozitif,bize yalan söyleyenler uyduruk tarih yutturmaya çalýþýyor 
Pozitif,batýn zulmünün küfrün tek millet oluþunun ýspatýdýr 
Pozitif,türkiye þçi partisi genel baþkaný erkan baþ tbmm konuþtu baþkalarý der bilmiyorum ben orada þahitlik yapacaðým 
Pozitif,yanýnýzdayken kýymetini bilmiyonuz sonra ayrýlýnca aþk acýlý twitler klipler bi yürüyün gidin 
Negatif,ezanlar okunurken kudurup havlayan itler tag açýp hemen baðladý olayý ula kudurup aðladýðýnýz senaryo ayný artýk izlenmiyorsunuz onun durmak yok sizi kudurtmaya devamke dünya lideridir efsanedir 
Pozitif,selam verdim borçlu çýktým ben ona onca insaný organize edip sürpriz yapmaya çalýþýyorum ders diyo yaa 
Pozitif,gururumuzsunuz tarih kültüre sahip çýktýnýz size helal olsun koca yürekli adamlar 
Pozitif,anlamadým denerim abi 
Pozitif,yi günlerinin tadýný çýkar kötü günlerinin tadýný çýkar 
Pozitif,boðaziçi köprüsü atatürk havalimaný kýzýlay meydaný ayasofya müzesi 
Pozitif,dolandýrdýklarýnda þaka 
Pozitif,zmir büyükþehir giriþimcilik merkezi kuruyor 
Pozitif,hayýrlýsý be gülüm 
Negatif,hiçbir tesadüf senin kadar iðrenç deðildi 
Pozitif,nsanlara birde laf anlatýcaz 
Pozitif,adam bin dedim dese bile sen yok olur dememiþsinizdir diyeceksin avukatlýk teklifi mi geldi yoksa 
Pozitif,pandeminin ihracata etkisi ayýnda üretilen dardanel markalý tahýllý ton ürünü pandemi sebebiyle ihraç edilemeyince elde kaldý 
Pozitif,kesin bitti denilen caner gökhan novak vs konularýnda baþka takýmlarýn adý geçmeye baþladý yine mi kriz yaþayacaðýz yine mi son dakikada zanka tolgay yine mi sol bek deniz türüç 
Pozitif,alýnmayacaðý yer olmuþ burasý birazdan doðrusunu yaparým 
Pozitif,gecikmeli olsa hayaliniz gerçek oldu güzel 
Pozitif,sevende sevmesende mak konda metropoll seçimleri biliyor konda den beri hemen hemen seçimi bildi þimdide akp nin oylarý kadar düþtü dedi 
Pozitif,nsanlarýn manzaralarý vardýr mesela sen bir akþam üzeri deniz kenarýsýn mutlu akþamlar 
Negatif,selam ben travesti asalet göðüs kalça cm penis sanal sex yapýyorum görüntülü sesli hertürlü fantazi sohbet küfür lü seks whatsapp 
Negatif,lan yapmayin amk sonra kapatiyo surlari 
Negatif,stikametini kaybetmiþ kiþi ülkenin yakasýndan düþmeli derhal 
Pozitif,sevdiðimiz agsgaga 
Pozitif,bi uyandým ölmüsüm günaydýn 
Pozitif,milletin ekonomik sýkýntýlarýndan baþka gündem 
Pozitif,kanka gel bi sigara icelim baslarýz saat 
Negatif,dua yoluyla cýkmayý beklemek mantýklýydý kosturdun bizi it 
Pozitif,yi olanlarýn deðil bro iyi oynayanlarýn dünyasý 
Pozitif,öncesi öðretmenler zorunlu hizmet muafiyeti geldikten sonra zorunlu hizmette çalýþtýklarý halde 
Pozitif,rüyamda okulda tanýdýðým var yoksa gördüm bugün bi evrenin mesajý anca rüyanda görürsün okulu gibisinden 
Pozitif,dileriz mutlu olasýn bir ömür boyu damat 
Pozitif,benim sanýrým pikniðe ihtiyacým var piknikler güzeldýr 
Negatif,ee amina koydugum 
Pozitif,emeðinize saðlýk 
Pozitif,bayanlardan hoþlanmýyorum baba 
Pozitif,utanýnca kalbimin hýzlanmasý yanaklarýmýn kýzarmasý sorunsalý býrak artýk peþimi 
Negatif,espiri yaptý kertenkele vur götünü yerden yere 
Pozitif,aþkýn acýmasýz yaný aðzýndan çýkmaya cesareti olmayan sözlerin yürekte fýrtýnalar koparmasýdýr louis aragon 
Pozitif,aðlamýyorum 
Pozitif,keþfi zor bir seçmiþim ömrüme bir adým geri den ötesi bir adým ileri mühür vurmuþum 
Pozitif,doksaný varr 
Pozitif,yurt çi kurban kayitlarimiz bugün ti bari yle baþladi günleri kayit aliyoruz 
Pozitif,savaþýnda tanýdým onlarý kadar seviyorlardý bizi traþ ettirdiðimiz baþlarýna kazýtmýþlardý onlar dle 
Pozitif,kimse kendinden bir yere gitmiyor yaþýyoruz sessizce yaramýzý severek 
Pozitif,eski bir inanç vardýr yabancý bir kimsenin kemik kalýntýlarý üzerine inancýnýzýn bir tapýnaðýný inþa etmeyin ölülerin gölgeleri intikam alacaktýr 
Pozitif,benim makam odam adana mýn sokaklarý insanlarýmýn yanýdýr kesintisiz hizmete devam 
Pozitif,þampiyonlar ligi þartý koymuþ 
Pozitif,ha si ha hava yer operasyonlarý keþif gözetleme yaparsýnýz hava üstünlüðü saðlayamazsýnýz si ha lar bahse 
Pozitif,zayýfýn hiçbir sýkýntýya maruz kalmadan hakkýný güçlüden alamadýðý bir met yüceltilmez günahlarýndan temizlenmez 
Pozitif,unutma unutturma 
Pozitif,þiir öyle muzam üstelik içli þairi okuyor onu 
Pozitif,aslan yürekli kardeþim doðum günün kutlu olsun sevdiklerinle nice güzel senelere 
Pozitif,piti piti herkes gitti 
Pozitif,tm olsun senimi kiricam 
Pozitif,kaldý geliyor 
Pozitif,on beþ yýl kadar önce üniversitede erasmus ran dan gelen bir arkadaþým babasý bir yerde oturup sohbet etti 
Pozitif,ben artik gercekten nefretinizi anlayamiyorum bir sebep ver allah askina bi gerekce goster olmesini isteye 
Pozitif,alnini açma yaa 
Pozitif,yýllarýný okuyarak geçiren bir nesile tarz þeyler pek inandýrýcý gelmiyor pandemi sürecindeyiz açýðýn artacaðý aþikar bin atama talebinden vazgeçmeyeceðiz 
Pozitif,cafede oturuyorduk gelmiþti ben stres olcam stres olsun 
Pozitif,ben sevda konusunda yarýda kalmam sevmiþimdir yada silmisimdir 
Pozitif,mi ll li mücadelemi devam ediyor çankale savaþlarýnýn yansýmalarýný ele aldýðýmýz bildiri kabul edildi derginin sayýsýný tarayýp metni içerik analizine tabi tuttuk savaþ hkýnda önemli bulgulara ilginç savaþ hatýralarýna ulaþtýk 
Negatif,oç delulu 
Negatif,kadar cahil olduðunu olduðunuzu bir ilan etin 
Pozitif,antremanlar yaðmur nedeniyle iptal edildi 
Pozitif,zamanýnýn dolmasý dk kaldý hemen halletmeliyiz son rt yapýn 
Pozitif,ah benim çocuk gülüþlerim filizlenip çiçek açan tazecik ümitlerim 
Pozitif,büyük topçu çök galatasaraysk 
Negatif,bir boks þampiyonu þöhreti elinin tersiyle itip kürdistan adýný yazdýran kahraman 
Pozitif,fen bilgisi desen var þiþmesi basket topunu güneþe býraktým 
Pozitif,evet þanslýyým 
Pozitif,sende güzelliðine güzlik katýyorsun tatlum 
Pozitif,lk tedavisi evdeki bakýmýnýn ardýndan bursa hayvanat bahçesinde kendisiyle ayný benzer kaderi paylaþan arkadaþlar 
Pozitif,sesimi twit atmýþ kuran çarpsýn 
Pozitif,bir acý düþünün hatýrlandýðýnda zalime öfke mazluma umuttur binlerce rahmet olsun 
Pozitif,kimsiniz ikizler burcuna asik olmaya kendinizi layik goruyorsunuz 
Pozitif,sen beni kadar aþýk etmeye çalýþýyorsun 
Pozitif,sen gittikten sonra toparlanamadým uðraþmadým 
Pozitif,hallederiz falan yanlýþ anlayacak insanlar sadece týr yolculuðu yapýyoruz 
Negatif,samimiyetsizlikten gebereceksiniz 
Pozitif,uzaklaþ buradan 
Pozitif,þuna bakýn þunun tipine bakýn ben aðlarým ölürüm ben sana küçük bebeði özledi 
Pozitif,bazen zehir içmek gelir içten 
Pozitif,yavuzeli ilçesi kasaba mahallesi tonluk içmesuyu depomuzu tamamladýk kasaba halkýna hayýrlý olsun 
Pozitif,ilginç bir ülke olduk hdp li gergerlioðlu kredi doðu türkistan sattýnýz diyor mhp li akçay yapalým savaþ açalým diyor 
Pozitif,cellada gülümsemek 
Pozitif,bi beþ kalýp büyük geliyoruz nsanlýk lemine yeðenim fikirlerimizi duygu düþüncelerimizi anlamamalarý gayet doðal onlar normal bir tabiatýn ilýman bir atmosferin içinde sen deðilsin fark 
Pozitif,maddenin sýnýrlýlýðý kanun niteliðinde belirliliði ol buyruðunun neticesindedir mantýklý geldi an düþününce 
Pozitif,bir ileri görüþlülük bir vizyon misyondur tabi tarafým türkiye cumhuriyeti nin bölünmez bütünlüðünde 
Pozitif,hasta bitik batýk dedikleri osmanlýnýn bile iki yüz yýl gölgeside devletide devam etti 
Pozitif,size bir futbolcu önersem beni ciddiye alýr mýsýnýz bilmem futbolcu doðümlu bursaspor altyapýsýnda yetiþmiþ kiralýk olarak karacabey birlik spor gitmistir sol stoper sol bek oynayan fizik olarak bizim eski futbolcumuz lokman gör gibidir 
Pozitif,lüks yaþamýyla dikkat çeken fenomeni fbi ýn yasa dýþý þekilde kaçýrdýðý dia edildi 
Pozitif,gençlere iyi bakýn önümüzdeki yýllarda fatih hocamýn mutfaðýnda piþerek galatasaray ýn ligi yeniden domine etmesini saðlayacaklar 
Pozitif,galata kulesi uçuþa açýlsýn 
Pozitif,kimseyle ilgilenmiyor kimseyi merak etmiyorum hayatýmda eriþtiðim güzel kafadayým sýfýr stres 
Pozitif,yok bugün turþu yicez 
Pozitif,bizde olmaz 
Pozitif,yorumsuz 
Negatif,ayyaþ diyor yine gun namazýmý kýlýyor yoksa 
Pozitif,hala neyin kafasýný yaþýyorsunuz bts paved the way iþte bacým kadar zor bunu kabul etmek gün rekor üstüne rekor kýrýyoruz yetiþemiyorum hýzlarýna bunu yediremiyor musunuz gururunuza 
Pozitif,sen kendine kurguladýn dünyayý ben kendime sandým gülten akýn 
Pozitif,benimkimi çalýyorlar 
Pozitif,hergün namazýna gitmiyor azýndan yi tarafýndan bakmak lazým onu diyenler var 
Pozitif,bende sövmedim herkesi gömdü helal olsun 
Pozitif,siteden bir esmere vuruldum arkadaþlar 
Negatif,yýlan karý 
Pozitif,dost dediðimiz kara günde belli oluyormuþ söndürün ýþýklarý dostlarýmý sayacaðýma nerdeler 
Pozitif,emniyet genel müdürümüz sn mehmet aktaþ jandarma genel komutanýmýz sn arif çetin paþamýzla beraber 
Pozitif,egenin kara incisi manisada belediyeden beklentim þehir meydanýna yerden görünecek kadar büyük sýcaktan ölen sayacý dikilmesidir iyi günler 
Pozitif,türkiye cumhuriyeti büyük millet meclisi nde uygur türklerine iliþkin araþtýrma önergesi yine rdedi ldi 
Negatif,camilerin kapanmasýna sevildiðine göre bizans artýðý bir keferesin demek sizi kudurtmak yaptýk zaten kudur 
Pozitif,þaka bin öðretmen açýðý varken bin atama bekleyen varken 
Pozitif,davet gelirse mi ulan götümle güldüm 
Pozitif,arada gelibolu yangýný hala devam ediyor 
Pozitif,pýnar ýn sesi olur musunuz 
Pozitif,radamel falcao yu gören cennetlik 
Pozitif,saat paralel baro yasasý mecliste akp mhp oylarýyla kabul edildi tarih sizi fetmeyecek 
Pozitif,muharrem bey namaza davet bekliyormuþ namaza davet ezandýr gönlü namazda olanýn kulaðý ezanda olur 
Pozitif,bb beyoðlu nda tartýþtýðý vatandaþa cinsel organýný gösteren taksi þoförünün çalýþma iznini iptal edip taksiyi trafikten men ti 
Pozitif,kadar güzel anlatýlýr 
Pozitif,çalýþan sayýsý azaldý iþsizlik oraný lginç 
Negatif,sikicem okulda nie kimse bana aþýk olmuyo 
Pozitif,bi tabuyu yýkýcam yengeç burcu erkekler kötü versiyondur 
Negatif,abi derimi yüzdü þerefsizler 
Negatif,manyaðýn oðlu 
Negatif,sokayým yapacaðýnýz iþe kredinize 
Pozitif,biryerden tanýdýk geliyor allah lah çýkaramadým 
Negatif,benim parfümüm çiçek kokuyordu kes sesini 
Pozitif,þartlar eþitse kutuplaþmadan bahsedebiliriz bir taraf türlü baský aracýný eline geçirmiþ hiçbir þekilde denetlenmiyor 
Pozitif,sessiz kalanlar suça ortaktýr 
Pozitif,sergen yalçýn söylediklerinde haklý adamla oturup futbol konuþmak istiyorum zeki insanýn hali bir baþka oluyor 
Pozitif,alper canýgüz ün romaný cehennem çiçeði hkýnda yazdým ertelenen yetiþkinliðin çocuðu anýl ceren altunkanat 
Pozitif,yükselen aslan kova burcu olmakla ayný anda ödüllendirilmisim cezalandýrýlmýþým 
Negatif,iki sevgi gösterisinin köpeði olmuþsunuz 
Pozitif,meyve deyince algým kapandý afiyet olsun hocam 
Negatif,milyon verin ipneyede sene euro verin senedir transfer gündemimizi meþgul ediyor adam gs aþýðý zaten 
Pozitif,senin hakkýn nokta 
Negatif,ülkemde kudurup çatlamadan durun durduðunuz yerde 
Pozitif,sustum durgunlaþtým bir garip haldeyim yalnýzlýðý sever oldum iyice huzuru arar oldum yerde duygularým harman çorman dý 
Pozitif,atalanta juventus karþý iyi oynuyor juventus un kadrosu kadar iyi olursa olsun atalanta ilk yarýda baskýlý oynayan taraftý golü buldu zaten ddia ediyorum cl psg yi elerse yarý finalde atletico yu rahat geçip finale çýkar 
Negatif,dunki linc tam olarak aq 
Pozitif,bir kaç gün kaldý kurtuluyorum 
Pozitif,bir tanrý parçacýðý geçiyor 
Pozitif,sakarya serdivan karayolu yakýnýnda mm obüs mühmatý olduðu deðerlendirilen bir cismin bulunduðu ihbarýnýn alý 
Pozitif,rumca konuþulan köylerdeki þeyi olumlayan insancýl hayatýn çeliþkisini li yýllarda büyümüþ bir kuymak çocuðunun gözüyle ifþa ediyor karadeniz in henüz talan edilmemiþ eþsiz doðasýnda kendi zamanýn külüstürlüðü içinde debelenirken þekilden þekle giren iki vadinin 
Pozitif,kendimize güveniyoruz iliþkimize güveniyoruz orayý geçelim karþýmýzdaki insana olan güveni yapacaz onu söyleyin bize öðrenelim öðrenmeye açýðýz nihayetinde 
Pozitif,aman bize derler ürkekliðine teslim ol herkesi kucaklama hayali avun tuzaða düþmeyiz pasifizmiyle oyalan kemal 
Pozitif,yýllardýr maðdur edilen emektarlara devletimiz sahip çýksýn 
Pozitif,nanmayýn zekiye kahve falýnda görüp söylüyor 
Pozitif,yýkýlmadýk tadilattayýz 
Pozitif,yalan söylüyorsunuz 
Pozitif,pardon sen kimsin söz hakký istemedim 
Negatif,hocam size zahmet yayalým þunu kedilere iþkence eden piçler yakalansýn 
Pozitif,sana yaziklar olsun yaziklar bozuk dövme demiþken arada artýk zahmet edip dövmenin yýldönümünde seansa gelsendi 
Pozitif,nanýr mýsýnýz caným isterse öyle olacak 
Pozitif,eslem psiko atýyo ona bak 
Pozitif,sevdilerinize sýmsýký sarýlýn 
Pozitif,gerçekten öyleymiþ 
Pozitif,sezen aksu ben yoluma giderim 
Pozitif,müslümanlýðýnýz gözümü yaþartýyor 
Pozitif,durup düþünmeye zamanýn olur yitirmeden anlamaz insan sevdiklerin yolun sonunda 
Pozitif,göksel gümüþdaðýn ts ye yaptýðý operasyonlarýn hesabýnýn sorulmasý önerge veriliyor tahmin edin hangi partinin trabzon milletvekili 
Pozitif,diðer tarafýný gösterseydin keþke söylerdik hangisinden baþlaman gerektiðini kalýn kitaplarýn betimlemeleri iyi olur konudan akýcýlýk ön plandadýr nce kitaplardan korkmak gerek zira kendileri katmerleþmiþtir 
Pozitif,iyi iyi aman olmasýn zaten 
Pozitif,tatlýlarýndan buluruz lanetleri bizde sevmiyoruz linçleyip duruyorlar aþkým 
Pozitif,memlekette komþunun tavuðuna kýþt demek bile nelere mal olurken elin adamý milyoner parasý var gelip doðadaki lahýn dað keçilerini avlýyor 
Pozitif,cool selfieleriyle instagramý coþturan arkadaþým herhangi bir selfiede cdi kalamayan ben 
Pozitif,ben senden sonra izlemiyorum sahi senden iyisi var hoþ geldin sercan yýldýrým 
Pozitif,omzumda sglamak ister msn 
Pozitif,west ilk ranked maçta oyun taþýyýp demir yerleþmek 
Pozitif,chp li aykut erdoðdu önce hýrsýz dediði can akýn çaðlar bb ye geçince meslektaþým üstadýmdýr dedi 
Pozitif,ders sýnavý kaldýrýlýyor yaz okulunu ayrý açýn ders sýnavý olsun gecen sene olduðu ders kalmýþ 
Pozitif,elinden tutarak yaþamýný deðiþtire biliriz 
Pozitif,sorulara aþýðým cevaplarýn caný cehenneme 
Pozitif,zaten alamadýðý burda sadece oyun almak yetmiyor karakter önemli diyor eminim kendi kazansa bunu savunmaz karakterdende kastý oy ben oyla kalýyorum oh mis diyor adaya tatile gelmiþ 
Pozitif,allah güç kvet versin 
Negatif,bununla mutluluk duyup allah hamd etmek yerine lah ýn verdiði kudretle bir ülkenin baðýmsýzlýðýný özgürlüðünü kazanmasýnda liderlik eden mustafa kemal atatürk alçakça hakaret edenler ülkenin kanser olan organýdýr 
Pozitif,bizler bugün hayýrsever bir vatandaþýmýzýn hayrýný engelli kardeþimize ulaþtýrmasýna vesile olmak sahadaydýk hilal in gölgesinde nice iyiliklere vesile olmak nice gönlere iyilikle dokunmak dileðiyle 
Pozitif,benim mail adresleriminden birini ele geçirerek facemin gitti akþam diðer mailimi yokladýlar hasta insan 
Pozitif,birleþik krallýk ta kiþi yaþamýný yitirdi 
Pozitif,seni býrakýpta kimleri seveyim 
Pozitif,ayasofya nýn diriliþi 
Pozitif,gezenin ayaðýna bok bulaþýrmýþ 
Pozitif,þüpheye düþürmeyen samimiyetin sevginin kölesiyim 
Pozitif,limit kalksýn geri gelicem böyle tadý tuzu kalmýyo tweeter ýn 
Pozitif,sigmund freud hepimize soruyor karþýnýzdaki kiþiyi dinliyor musunuz yoksa konuþmak sýra bekliyorsunuz 
Pozitif,seninle kadar gurur duyuyorum 
Pozitif,kadýn zaten güzeldi raký dahada güzelleþti 
Pozitif,nsan tarih okumakla tecrübe kazanýr olaylarý öðrenir neticelerini kolayca kestirebilir dünyada vuku bulmuþ 
Pozitif,an kendime tost yapmak istiyorum lütfen fikirden caymamý saðlayacak bir þeyler söyleyin 
Pozitif,süper manzara hoþuma gitti 
Pozitif,pek haksýz sayýlmazlar 
Pozitif,ben avrupa giderken kafam eðik gitmiyorum çocuk kadýn ihtiyar öldürmedik kutsal yerlere saldýrmadýk oys 
Pozitif,kazanýnca aðlýyor kaybedince anlamadýk 
Pozitif,kimsenin beni anlamak istemediði bir dönemdeyim 
Pozitif,hayýr kanka bitti sey 
Pozitif,yalnýz kurt yenilmemeli 
Negatif,gün seçim olsun yine kazanaçak ak parti sizlerde nifak tohumlarý ekip durmaya devam ediçeksiniz millet þeyin farkýnda size dam nede dama atýlaçak terlik býrakaçak deyildir sandýktan ak parti çýktý bugün seçim olsa yine galip çýkaçaktýr avuçunuzu yalayýn 
Pozitif,eski türkiye bizi bekliyor 
Pozitif,vedalar sevilmiyor çim bi týk buruk keþke kadar duygusal olmasam 
Pozitif,kendini kadar önemseme 
Negatif,aynen puþt 
Pozitif,yiyeceðimi anlayýnca ozan tufana dönüþen yoðurt 
Pozitif,üzerinden kadar zaman geçse unutmayacaðýz 
Negatif,sosa gidince donuna bile edeceksin 
Pozitif,geçmiþ bizden 
Pozitif,neftlix dizi önerisi alabilir miyim 
Pozitif,gönül yalnýz gönül vermekle alýnýr gönüller istiyorsan önce gönlünü vereceksin 
Pozitif,delirdin yine ey dobarlan 
Pozitif,beni aðlattý 
Pozitif,sayýn sözen tiviti ilgili makamlarý etiketleyip paylaþsaydýnýz böyle türbine oynamakla olmuyor 
Pozitif,sahip çýkmak büyük sevgi belirtisidir 
Pozitif,yazý bir þarký seçicek olsam dinlemek zorunda kalsam þarký olurdu kesinlikle 
Pozitif,senesi gelsin ben sana hatýrlatýrým gelmedi 
Pozitif,yediðim dondurmada bedava çýkýyomuþ ben çubuða bakmadan direk çöpe sallamýþým ever haytan umudum tam olarak 
Pozitif,kýral 
Pozitif,tc mi yazsaydýn aleyküm selam 
Pozitif,tartiþilmaya kapali konu 
Pozitif,mezun olma þansýmýzý elimizden almayýn iki ay beklemeyelim anadolu univ 
Negatif,böyle bi popo yook 
Pozitif,of efkarlandim 
Pozitif,güvenmek büyük kumardýr 
Pozitif,havasý daraldý köhne odamýn faydasý olmuyor pencere camýn daveti duyuldu uzun adamýn kapýya sýrtýmý dönemem anne 
Pozitif,çalýþmadým yazdýðýnýz yarým yamalak bir tweet sýnavý yargýlamak hdçwhdçwhdöwjsjwhdwlhdwkhdjwje komik 
Pozitif,üç ömre bedel günler zor geçecek senin ani ölümünden sonra kardeþim anladým ölümden öte gerçek olamazm 
Negatif,önce haram deyip sonra amýný götünü veren liseli videonun devamý linkte link gt türbanlý porno türk porno sakso liseli porno sex amcýk türkifþa turkporno turkifsa sikiþ sakso ensest türk porno izle porno orospu olgun gay swinger azgýn azdým am göt https co rzb yigvze 
Negatif,kýz sende mi göt veren sin be 
Negatif,bir orospu çocuðu lan deðiþiklik hakkýn var göt veren vlar aq 
Negatif,vay göt veren 
Negatif,gizliliðe önem veren bayanlar dm sex porno sikiþ sanal dul porno türbanlý seks fþa sikiþmek gizli sakso azdým masaj yaþlý boþalma göt meme am sik yarrak gizli seksi sakso azdým sakarya 
Negatif,gizliliðe önem veren bayanlar dm sex porno sikiþ sanal dul porno türbanlý liseli seks fþa sikiþmek gizli sanalsex sakso azdým masaj evli çift yaþlý boþalma göt meme am sik yarrak gizli seksi sakso azdým ankara 
